date_key,date_value,day,month,month_name,quarter,year,day_of_week,is_weekend
20230526,2023-05-26 00:00:00,26,5,May,2,2023,4,0
20230527,2023-05-27 00:00:00,27,5,May,2,2023,5,1
20230528,2023-05-28 00:00:00,28,5,May,2,2023,6,1
20230529,2023-05-29 00:00:00,29,5,May,2,2023,0,0
20230530,2023-05-30 00:00:00,30,5,May,2,2023,1,0
20230531,2023-05-31 00:00:00,31,5,May,2,2023,2,0
20230601,2023-06-01 00:00:00,1,6,June,2,2023,3,0
20230602,2023-06-02 00:00:00,2,6,June,2,2023,4,0
20230603,2023-06-03 00:00:00,3,6,June,2,2023,5,1
20230604,2023-06-04 00:00:00,4,6,June,2,2023,6,1
20230605,2023-06-05 00:00:00,5,6,June,2,2023,0,0
20230606,2023-06-06 00:00:00,6,6,June,2,2023,1,0
20230607,2023-06-07 00:00:00,7,6,June,2,2023,2,0
20230608,2023-06-08 00:00:00,8,6,June,2,2023,3,0
20230609,2023-06-09 00:00:00,9,6,June,2,2023,4,0
20230610,2023-06-10 00:00:00,10,6,June,2,2023,5,1
20230611,2023-06-11 00:00:00,11,6,June,2,2023,6,1
20230612,2023-06-12 00:00:00,12,6,June,2,2023,0,0
20230613,2023-06-13 00:00:00,13,6,June,2,2023,1,0
20230614,2023-06-14 00:00:00,14,6,June,2,2023,2,0
20230615,2023-06-15 00:00:00,15,6,June,2,2023,3,0
20230616,2023-06-16 00:00:00,16,6,June,2,2023,4,0
20230617,2023-06-17 00:00:00,17,6,June,2,2023,5,1
20230618,2023-06-18 00:00:00,18,6,June,2,2023,6,1
20230619,2023-06-19 00:00:00,19,6,June,2,2023,0,0
20230620,2023-06-20 00:00:00,20,6,June,2,2023,1,0
20230621,2023-06-21 00:00:00,21,6,June,2,2023,2,0
20230622,2023-06-22 00:00:00,22,6,June,2,2023,3,0
20230623,2023-06-23 00:00:00,23,6,June,2,2023,4,0
20230624,2023-06-24 00:00:00,24,6,June,2,2023,5,1
20230625,2023-06-25 00:00:00,25,6,June,2,2023,6,1
20230626,2023-06-26 00:00:00,26,6,June,2,2023,0,0
20230627,2023-06-27 00:00:00,27,6,June,2,2023,1,0
20230628,2023-06-28 00:00:00,28,6,June,2,2023,2,0
20230629,2023-06-29 00:00:00,29,6,June,2,2023,3,0
20230630,2023-06-30 00:00:00,30,6,June,2,2023,4,0
20230701,2023-07-01 00:00:00,1,7,July,3,2023,5,1
20230702,2023-07-02 00:00:00,2,7,July,3,2023,6,1
20230703,2023-07-03 00:00:00,3,7,July,3,2023,0,0
20230704,2023-07-04 00:00:00,4,7,July,3,2023,1,0
20230705,2023-07-05 00:00:00,5,7,July,3,2023,2,0
20230706,2023-07-06 00:00:00,6,7,July,3,2023,3,0
20230707,2023-07-07 00:00:00,7,7,July,3,2023,4,0
20230708,2023-07-08 00:00:00,8,7,July,3,2023,5,1
20230709,2023-07-09 00:00:00,9,7,July,3,2023,6,1
20230710,2023-07-10 00:00:00,10,7,July,3,2023,0,0
20230711,2023-07-11 00:00:00,11,7,July,3,2023,1,0
20230712,2023-07-12 00:00:00,12,7,July,3,2023,2,0
20230713,2023-07-13 00:00:00,13,7,July,3,2023,3,0
20230714,2023-07-14 00:00:00,14,7,July,3,2023,4,0
20230715,2023-07-15 00:00:00,15,7,July,3,2023,5,1
20230716,2023-07-16 00:00:00,16,7,July,3,2023,6,1
20230717,2023-07-17 00:00:00,17,7,July,3,2023,0,0
20230718,2023-07-18 00:00:00,18,7,July,3,2023,1,0
20230719,2023-07-19 00:00:00,19,7,July,3,2023,2,0
20230720,2023-07-20 00:00:00,20,7,July,3,2023,3,0
20230721,2023-07-21 00:00:00,21,7,July,3,2023,4,0
20230722,2023-07-22 00:00:00,22,7,July,3,2023,5,1
20230723,2023-07-23 00:00:00,23,7,July,3,2023,6,1
20230724,2023-07-24 00:00:00,24,7,July,3,2023,0,0
20230725,2023-07-25 00:00:00,25,7,July,3,2023,1,0
20230726,2023-07-26 00:00:00,26,7,July,3,2023,2,0
20230727,2023-07-27 00:00:00,27,7,July,3,2023,3,0
20230728,2023-07-28 00:00:00,28,7,July,3,2023,4,0
20230729,2023-07-29 00:00:00,29,7,July,3,2023,5,1
20230730,2023-07-30 00:00:00,30,7,July,3,2023,6,1
20230731,2023-07-31 00:00:00,31,7,July,3,2023,0,0
20230801,2023-08-01 00:00:00,1,8,August,3,2023,1,0
20230802,2023-08-02 00:00:00,2,8,August,3,2023,2,0
20230803,2023-08-03 00:00:00,3,8,August,3,2023,3,0
20230804,2023-08-04 00:00:00,4,8,August,3,2023,4,0
20230805,2023-08-05 00:00:00,5,8,August,3,2023,5,1
20230806,2023-08-06 00:00:00,6,8,August,3,2023,6,1
20230807,2023-08-07 00:00:00,7,8,August,3,2023,0,0
20230808,2023-08-08 00:00:00,8,8,August,3,2023,1,0
20230809,2023-08-09 00:00:00,9,8,August,3,2023,2,0
20230810,2023-08-10 00:00:00,10,8,August,3,2023,3,0
20230811,2023-08-11 00:00:00,11,8,August,3,2023,4,0
20230812,2023-08-12 00:00:00,12,8,August,3,2023,5,1
20230813,2023-08-13 00:00:00,13,8,August,3,2023,6,1
